doc_id,chunk_id,text,source
1,1,"Vol.:(0123456789) Lung (2025) 203:53 https://doi.org/10.1007/s00408-025-00801-x REVIEW Update 2025: Management of Non‑Small‑Cell Lung Cancer Hyein Jeon1,2,3 · Shuai Wang1,2,3 · Junmin Song4 · Harjot Gill5 · Haiying Cheng1,2,3 Received: 27 February 2025 / Accepted: 5 March 2025 / Published online: 25 March 2025 © The Author(s) 2025 Abstract Lung cancer remains the leading cause of cancer-related mortality worldwide. Since 2024, the non–small-cell lung cancer (NSCLC) landscape has undergone a transformative shift, driven by 11 FDA approvals. Recent advances in molecular profil- ing, targeted therapies, and immunotherapies have revolutionized NSCLC management, ushering in an era of personalized treatment with improved patient outcomes. The increased adoption of low-dose computed tomography (LDCT) for screening has enhanced early detection, enabling intervention at more curable stages. Molecular diagnostics now play a pivotal role in guiding treatment strategies, with actionable genomic alterations (AGAs) informing the use of EGFR, ALK, ROS1, KRAS, NRG1, and other targeted inhibitors in both early and advanced settings. For instance, targeted therapies are increasingly being integrated into early-stage management, with adjuvant osimertinib for EGFR-mutated NSCLC and alectinib for ALK- positive NSCLC demonstrating substantial survival benefits. Immunotherapy, particularly immune checkpoint inhibitors, has become a cornerstone of treatment for AGA-negative NSCLC, either as monotherapy or in combination with chemotherapy, and is increasingly being utilized in the perioperative setting. Furthermore, emerging therapies such as bispecific antibodies, antibody–drug conjugates (ADCs), and novel immunotherapeutic agents show promise in addressing resistance mechanisms and improving outcomes in advanced-stage disease. Although new challenges arise, the evolving NSCLC treatment paradigm continues to prioritize precision medicine, offering hope for prolonged survival and enhanced quality of life for patients.",01-408_2025_Article_801.pdf
1,2,"Although new challenges arise, the evolving NSCLC treatment paradigm continues to prioritize precision medicine, offering hope for prolonged survival and enhanced quality of life for patients. Keywords NSCLC · Lung Cancer Management · Immunotherapy · Targeted Therapy · Actionable Genomic Alterations Abbreviations ABCP Atezolizumab-bevacizumab-carboplatin-pacli- taxel ACP Atezolizumab-carboplatin-paclitaxel ADCs Antibody–drug conjugates AGA​ Actionable genomic alterations ACS American Cancer Society BCP Bevacizumab-carboplatin-paclitaxel DFS Disease-free survival EFS Event-free survival ITT Intention to treat IASLC International Association for the Study of Lung Cancer LDCT Low-dose computed tomography MPR Major pathologic response NLST National Lung Screening Trial NSCLC Non-small-cell lung cancer OS Overall survival ORR Overall response rate pCR Pathologic complete response SES Socioeconomic status STATE-OF-THE-ART REVIEW * Haiying Cheng

Hcheng@montefiore.org

Hyjeon@montefiore.org

Swang9@montefiore.org

junmin.song@einsteinmed.edu

hagill@montefiore.org 1 Department of Oncology, Albert Einstein College of Medicine, Bronx, NY 10461, USA 2 Department of Oncology, Montefiore Medical Center, Bronx, NY 10461, USA 3 Department of Medical Oncology, Montefiore Einstein Comprehensive Cancer Center, Bronx, NY 10461, USA 4 Department of Medicine, Jacobi Medical Center, Albert Einstein College of Medicine, Bronx, NY 10461, USA 5 Department of Pathology, Montefiore Albert Einstein College of Medicine, Bronx, NY 10461, USA

Lung (2025) 203:53 53 Page 2 of 15 TDxd Trastuzumab deruxtecan-nxki TKI Tyrosine kinase inhibitors USPSTF United States Preventive Services Taskforce zeno Zenocutuzumab-zbco Introduction Lung cancer has remained the leading cause of cancer- related mortality worldwide since the 1950s, posing a sig- nificant global health challenge [1]. NSCLC, which consti- tutes the majority of lung cancer cases, has historically been associated with poor outcomes due to its often late diagnosis and limited treatment options [2]. However, the landscape of NSCLC management has undergone exponential growth in recent years, driven by groundbreaking advancements in targeted therapies and immunotherapies.",01-408_2025_Article_801.pdf
1,3,"NSCLC, which consti- tutes the majority of lung cancer cases, has historically been associated with poor outcomes due to its often late diagnosis and limited treatment options [2]. However, the landscape of NSCLC management has undergone exponential growth in recent years, driven by groundbreaking advancements in targeted therapies and immunotherapies. These innovations have ushered in a new era of precision medicine, allowing treatments to be tailored to the unique molecular and immu- nological profiles of patients, thereby improving efficacy and survival outcomes. Additionally, these advancements have redefined the standard of care, offering renewed hope to patients and clinicians alike. This review provides a com- prehensive update on the evolving management strategies for NSCLC, with a focus on recent developments in screening, diagnostics, and therapeutic advancements in early-stage and advanced disease. Lung Cancer Screening Lung cancer screening with LDCT plays a pivotal role in detecting lung cancer at earlier, more treatable stages, as evidenced by a 20% reduction in mortality demonstrated in the National Lung Screening Trial (NLST) in 2013 [3]. This resulted in a Grade B recommendation by the United States Preventive Services Task Force (USPSTF) in 2013 for annual lung cancer screening in adults aged 55–80 years with a 30-pack-year smoking history, who are either cur- rent smokers or have quit within the last 15 years [4] and a similar recommendation from the American Cancer Soci- ety (ACS) for adults aged 55–74 years old [5]. In 2020, the NELSON study in the Netherlands and Belgium published a large, randomized lung cancer screening trial which not only confirmed the relative reduction in death rate by 20% but also reinforced the importance of early detection.",01-408_2025_Article_801.pdf
1,4,"In 2020, the NELSON study in the Netherlands and Belgium published a large, randomized lung cancer screening trial which not only confirmed the relative reduction in death rate by 20% but also reinforced the importance of early detection. These studies ultimately led to updated guidelines (Table 1) by the USPSTF in March 2021 and the ACS in November 2023, which have expanded eligibility for screen- ing, targeting individuals aged 50–80 years with a 20 pack- year smoking history who are currently smoking or have quit within the past 15 years [6, 7]. These updates specifically aim to include underserved and lower socioeconomic status (SES) groups, as well as women and minorities who may face a heightened risk of lung cancer despite lower daily cigarette use. By reducing barriers to screening and enhanc- ing early detection, these changes have resulted in a 61.1% relative increase in eligibility for the lowest SES quintile compared to a 49.6% increase for the highest SES quintile. However, further efforts are needed to allocate resources for tailored community outreach strategies and to address persistent barriers to screening for individuals from lower SES backgrounds. The ACS guidelines further emphasize shared decision-making and smoking cessation support to complement screening efforts, aiming to reduce lung cancer mortality and morbidity across diverse populations [7]. While screening efforts focus on high-risk individuals with a smoking history, the increasing prevalence of lung cancer among never-smokers presents a critical area for future research and a significant public health considera- tion. Current risk prediction models inadequately address this population [8], necessitating the development of tools incorporating factors such as family history, second-hand smoke, occupational and environmental exposures, and genetic predispositions.",01-408_2025_Article_801.pdf
1,5,"Current risk prediction models inadequately address this population [8], necessitating the development of tools incorporating factors such as family history, second-hand smoke, occupational and environmental exposures, and genetic predispositions. Validating these models and assess- ing their cost-effectiveness will be essential for expanding screening efforts to never-smokers, potentially reducing lung cancer mortality in this growing demographic [8]. Diagnostic Work‑Up Staging The staging of NSCLC is continually refined through evi- dence-based iterations led by the International Association for the Study of Lung Cancer (IASLC). Following the wide- spread adoption of the 8th edition since 2017 [9], which introduced more granular tumor (T) descriptors and refined stratification of metastatic (M) disease, the recently devel- oped 9th edition has further enhanced the accuracy and clini- cal utility of NSCLC staging [10]. Key modifications from the 8th to the 9th edition include the reclassification of stage groups based on a more refined nodal (N) category, as well Table 1 Comparison of ACS and USPSTF lung cancer screening guideline Criteria ACS (2023)[7] USPSTF (2021)[6] Age Range 50–80 years 50–80 years Smoking History ≥ 20 pack-years ≥ 20 pack-years Time Since Quitting No requirement Within the last 15 years Screening Method Annual LDCT Annual LDCT Key Change Removed ""years since quitting"" criterion Lowered age and pack- year thresholds

Lung (2025) 203:53 Page 3 of 15 53 as more nuanced M descriptors that better distinguish dis- tinct patterns of metastatic spread. These refinements reflect an expanded global database, the incorporation of more nuanced prognostic data, and the consideration of emerging treatment modalities. Looking ahead, with the 10th edition already under- way, efforts aim to build upon this trajectory by integrating emerging data sources, advanced imaging modalities, and molecular profiling tools, ultimately refining staging accu- racy and better reflecting its prognostic value.",01-408_2025_Article_801.pdf
1,6,"Looking ahead, with the 10th edition already under- way, efforts aim to build upon this trajectory by integrating emerging data sources, advanced imaging modalities, and molecular profiling tools, ultimately refining staging accu- racy and better reflecting its prognostic value. Molecular Profiling Molecular profiling has emerged as a cornerstone in the management of NSCLC, revolutionizing the approach to diagnosis, prognosis, and personalized treatment. Advances in molecular testing based on next-generation sequencing (NGS) have enabled the identification of key driver muta- tions and genetic alterations, such as EGFR, ALK, ROS1, BRAF, MET, RET, NTRK, NRG, KRAS, and ERBB2, that are critical for selecting targeted therapies [11]. Addition- ally, the discovery of biomarkers such as PD-L1 expression and tumor mutational burden has expanded the landscape of immunotherapy in NSCLC, although their role as predictive biomarkers needs further investigation [11]. Nonetheless, molecular profiling not only guides therapeutic decision- making but also provides insights into mechanisms of resist- ance, facilitating the development of novel treatment strate- gies [12]. As molecular diagnostic technologies continue to evolve, their integration into clinical practice is essen- tial for refining prognostic accuracy, optimizing treatment outcomes, and advancing the field of precision oncology in NSCLC. Additionally, emerging evidence suggests that circulating tumor DNA analysis may aid in minimal residual disease detection, though further validation is needed. AGA Negative NSCLC Treatment Approaches Immunotherapy with or without chemotherapy has been a fundamental aspect of the management of metastatic NSCLC without AGA. In recent years, immunotherapy has expanded from late-stage treatment to earlier stages of disease, leading to FDA approvals in the perioperative and adjuvant settings (Table 2). Early‑Stage Resectable NSCLC In early-stage resectable NSCLC, two pivotal studies first demonstrated the benefit of adjuvant immunotherapy. The IMpower010 trial assessed atezolizumab as adjuvant ther- apy after adjuvant chemotherapy in resected stage IB-IIIA NSCLC.",01-408_2025_Article_801.pdf
1,7,"Early‑Stage Resectable NSCLC In early-stage resectable NSCLC, two pivotal studies first demonstrated the benefit of adjuvant immunotherapy. The IMpower010 trial assessed atezolizumab as adjuvant ther- apy after adjuvant chemotherapy in resected stage IB-IIIA NSCLC. The result showed that, in the intention-to-treat population, atezolizumab improved disease-free survival (DFS) compared to best supportive care (HR, 0.81; 95% CI, 0.67–0.99; P = 0.04). The greatest benefit was observed in the stage II-IIIA population with PD-L1 ≥ 1% (HR 0.66; 95% CI, 0.50–0.88; P = 0.0039) [13]. Notably, stage II- IIIA patients with PD-L1 < 1% did not derive a DFS ben- efit with atezolizumab[13]. The updated overall survival (OS) data from IMpower010 revealed an OS benefit of ate- zolizumab only in stage II-IIIA patients with PD-L1 ≥ 50% (HR 0.43; 95% CI, 0.24–0.78), while other subgroups did not show significant improvement [14]. The PEARLS/KEYNOTE-091 compared pembroli- zumab with placebo as adjuvant therapy in resected stage IB-IIIA NSCLC. In the overall population, pembrolizumab improved DFS compared to placebo (53.6 m vs. 42.0 m; HR 0.76; 95% CI, 0.63–0.91; P = 0.0014) [15]. Unlike the IMpower010 study, the PEARLS/KEYNOTE-091 study demonstrated a DFS benefit of pembrolizumab across all PD-L1 groups. The OS data for PEARLS/KEYNOTE-091 are still pending. Neoadjuvant immunotherapy was subsequently explored in resectable NSCLC without AGA due to several key advantages over adjuvant approaches: early control of micro- metastatic disease, enhanced immune response, improved pathologic responses and reduced treatment delays. The CheckMate 816 is an open-label, randomized phase III trial that assessed neoadjuvant nivolumab plus chemotherapy versus chemotherapy alone in resectable stage IB to IIIA NSCLC. Adding nivolumab to chemotherapy prolonged event-free survival (EFS) (31.6 m vs. 20.8 m; HR 0.63; 97.38% CI, 0.43 to 0.91; P = 0.005) and resulted in a higher pathologic complete response (pCR) (24% vs.",01-408_2025_Article_801.pdf
1,8,"Adding nivolumab to chemotherapy prolonged event-free survival (EFS) (31.6 m vs. 20.8 m; HR 0.63; 97.38% CI, 0.43 to 0.91; P = 0.005) and resulted in a higher pathologic complete response (pCR) (24% vs. 2.2%; OR 13.94; 99% CI, 3.49 to 55.75; P < 0.001) [16]. Following the establishment of neoadjuvant chemoimmu- notherapy as a standard of care for resectable NSCLC based on the results of the CheckMate 816 trial, several phase III randomized trials have further evaluated the role of immu- notherapy combined with chemotherapy in the perioperative setting. The CheckMate 77 T trial evaluated neoadjuvant nivolumab and chemotherapy compared to chemotherapy, followed by surgery and adjuvant nivolumab or chemother- apy for up to 1 year in resectable stage IIA and IIIB NSCLC. The result revealed significantly better median EFS (NR vs. 18.4 m; HR 0.58; 97.36% CI, 0.42–0.81; P < 0.001), pCR (25.3% vs. 4.7%; OR 6.64; 95% CI, 3.40–12.97) and major pathologic response (MPR) (35.4% vs.12.1%; OR 4.01; 95% CI, 2.48–6.49) in the nivolumab arm [19]. The Keynote-671 trial demonstrated that perioperative pembrolizumab plus chemotherapy in resectable stage IIA- IIIB resulted in significantly longer 24-month EFS (62.4% vs. 40.6%; HR 0.58; 95% CI, 0.46–0.72; P < 0.001), pCR (18.1% vs.4.0%; difference 14.2%; 95% CI, 10.1–18.7;

Lung (2025) 203:53 53 Page 4 of 15 Table 2 Perioperative systemic therapy for resectable NSCLC with negative actionable mutations Drug/ Trial Eligible NSCLC stage (AJCC edition) Study design Study size Median EFS/DFS; EFS/DFS (%); HR (95% CI) pCR: Other outcomes EFS based on PD-L1 score HR (95% CI) FDA approval Preoperative Nivolumab CheckMate 816[16] Resectable stage IB- IIIA (7th) Neoadjuvant nivolumab + CT vs. CT for 3 cycles 179 vs. 179 31.6 mo vs. 20.8 mo; 63.8% vs. 45.3% at 24 mo; 0.63 (0.45–0.87) 24% vs. 2.2% OS: 82.7% vs.",01-408_2025_Article_801.pdf
1,9,CT for 3 cycles 179 vs. 179 31.6 mo vs. 20.8 mo; 63.8% vs. 45.3% at 24 mo; 0.63 (0.45–0.87) 24% vs. 2.2% OS: 82.7% vs. 70.6% at 24 mo; HR: 0.57 (0.30–1.07) < 1%: 0.85 (0.54– 1.32) 1–49%: 0.58 (0.30– 1.12) ≥ 50%: 0.24 (0.10– 0.61) Mar 2022 Perioperative Pembrolizumab KEYNOTE-671[17] Resectable stage II- IIIB (N2 stage; 8th) Neoadj pembroli- zumab + CT vs. placebo + CTx every 3 weeks for 4 cycles → sur- gery → adjuvant pembrolizumab vs. placebo every 3 weeks up to 13 cycles 397 vs. 400 NE vs. 17 mo; 62.4% vs. 40.6% at 24 mo; 0.58 (0.46–0.72) 18.1% vs. 4.0% OS: 80.9% vs. 77.6% at 24 mo; HR: 0.73 (0.54–0.99) < 1%: 0.77 (0.55– 1.07) 1–49%: 0.51 (0.34– 0.75) ≥ 50%: 0.42 (0.28– 0.65) Oct 2023 Durvalumab AEGEAN[18] Resectable stage IIA- IIIB (N2 stage; 8th) Neoadjuvant dur- valumab + CTx vs. placebo + CTx every 3 weeks for 4 cycles → sur- gery → adjuvant dur- valumab vs. placebo every 4 weeks for 12 cycles 400 vs. 402 NE vs. 25.9 mo; 63.3% vs. 52.4% at 24 mo; 0.68 (0.53–0.88) 13.0% vs. 4.3% OS: not yet available < 1%: 0.76 (0.49– 1.17) 1–49%: 0.70 (0.46– 1.05) ≥ 50%: 0.60 (0.35– 1.01) Aug 2024 Nivolumab CheckMate 77 T[19] Resectable stage IIA- IIIB (8th) Neoadjuvant nivolumab + CTx vs. placebo + CTx every 3 weeks for 3 cycles → sur- gery → adjuvant nivolumab vs. pla- cebo every 4 weeks for 1 year 229 vs. 232 NE vs. 18.4 mo; 70.2% vs. 50.0% at 18 mo; 0.58 (0.42–0.81) 25.3% vs.,01-408_2025_Article_801.pdf
1,10,"placebo + CTx every 3 weeks for 3 cycles → sur- gery → adjuvant nivolumab vs. pla- cebo every 4 weeks for 1 year 229 vs. 232 NE vs. 18.4 mo; 70.2% vs. 50.0% at 18 mo; 0.58 (0.42–0.81) 25.3% vs. 4.7% OS: not yet available < 1%: 0.73 (0.47– 1.15) 1–49%: 0.76 (0.46– 1.25) ≥ 50%: 0.26 (0.12– 0.55) Oct 2024 Postoperative

Lung (2025) 203:53 Page 5 of 15 53 P < 0.0001) and MPR (30.2% vs. 11.0%; difference 19.2%; 95% CI, 13.9–24.7; P < 0.0001) were observed. The EFS benefit favored pembrolizumab and chemotherapy across all subgroups [17]. The Neotorch trial assessed toripalimab versus placebo in combination with chemotherapy in the perioperative set- ting for stage II and III resectable NSCLC. The study dem- onstrated a benefit in the toripalimab arm with longer EFS (not estimable vs. 15.1 m; HR 0.40; 95% CI, 0.28–0.57; P < 0.001) and higher percentage of MPR (48.5% vs. 8.4%; difference 40.2%; 95% CI, 32.2–48.1; P < 0.001) as well as pCR (24.8% vs 1.0%; difference 23.7%; 95% CI, 17.6–29.8) [20]. The AEGEAN trial evaluated durvalumab vs. placebo in combination with chemotherapy in the perioperative setting for resectable stage II to IIIB NSCLC. The EFS was signifi- cantly longer in the durvalumab arm compared to placebo (HR 0.68; 95% CI, 0.53–0.88; P = 0.004). The pCR was also significantly higher, favoring durvalumab (17.2% vs. 4.3%; difference 13.0%; 95% CI, 8.7–17.6; P < 0.001) [18]. These studies collectively reinforce the efficacy of inte- grating immunotherapy into the perioperative setting and offer a multimodal strategy that requires early multidisci- plinary discussions for resectable NSCLC. However, sev- eral important unanswered questions remain that require further investigation.",01-408_2025_Article_801.pdf
